legacy_id,source_item_code,manual_code,item_type,source_number,source_text_sha256,source_status,governance_approval_status
DGI-107,DGI-07-P04,iSAFE-DGM-07,CONTROL,4,f3a576c2ea248349241c39caaf6685e858e94513febd20a4dfe04275c9c46aed,SOURCE_FOUND,PENDING
DGI-108,DGI-07-P05,iSAFE-DGM-07,CONTROL,5,1abf73c0f04204fd5dcce2987738509a842a5b493a663ed1620a0d6e8b2f2b90,SOURCE_FOUND,PENDING
DGI-109,DGI-08-A01,iSAFE-DGM-08,REQUIREMENT,1,017ac23f077694834a257ab77af0259b6379601a1c4df17f600857bc955d698e,SOURCE_FOUND,PENDING
DGI-110,DGI-08-A02,iSAFE-DGM-08,REQUIREMENT,2,fbdfb05f32b39438844adb5a68e8869efa5efca82b1ea38acfd6218647c99efe,SOURCE_FOUND,PENDING
DGI-111,DGI-08-A03,iSAFE-DGM-08,REQUIREMENT,3,7417ad36f153563230c4ea9aaf9c947515dbe021139d8e80eb7466b3a3c17b2b,SOURCE_FOUND,PENDING
DGI-112,DGI-08-A04,iSAFE-DGM-08,REQUIREMENT,4,22b04a2549eec3386c9be6f6961157608559cf17e0730b70c5ac3a8ce5cfa390,SOURCE_FOUND,PENDING
DGI-113,DGI-08-A05,iSAFE-DGM-08,REQUIREMENT,5,c46c3fc3d955d7f3ccd39ffb7cd2e76040d8e388eb3bbc1689d279a78a1c03e5,SOURCE_FOUND,PENDING
DGI-114,DGI-08-E01,iSAFE-DGM-08,RISK_SIGNAL,1,bb447f11685fdf2d5ca13db19489b8352ffceb87ec726e582936f47312507f48,SOURCE_FOUND,PENDING
DGI-115,DGI-08-E02,iSAFE-DGM-08,RISK_SIGNAL,2,bd3b0b1c6a6e6b343707e161fbede0815402a0f851c6abfa10ed7321a24cf428,SOURCE_FOUND,PENDING
DGI-116,DGI-08-E03,iSAFE-DGM-08,RISK_SIGNAL,3,139f6c0704c85a5de284c06192a34707ae65d5bb1389f867902f61ca90b74646,SOURCE_FOUND,PENDING
DGI-117,DGI-08-E04,iSAFE-DGM-08,RISK_SIGNAL,4,5c927875e4c940fe1b77ac13cd558470ce1fd1ee43b4ab0369aac11cf0ea3431,SOURCE_FOUND,PENDING
DGI-118,DGI-08-E05,iSAFE-DGM-08,RISK_SIGNAL,5,f10a4c609fb07bd402a3c8a20e0f0e80293d8555f31d0741a4b2d8b9f034d187,SOURCE_FOUND,PENDING
DGI-119,DGI-08-P01,iSAFE-DGM-08,CONTROL,1,826570ceb287c16c5d496c82633677b3abc2ef7f821877505ab29142be555b25,SOURCE_FOUND,PENDING
DGI-120,DGI-08-P02,iSAFE-DGM-08,CONTROL,2,4f690cbe95f37b8d7ee6656645fb96eb0dfca1c5b4458b2552fc915ea8f94482,SOURCE_FOUND,PENDING
DGI-121,DGI-08-P03,iSAFE-DGM-08,CONTROL,3,2e7af12148d4e5fddd51d55f572a16a244d15bef2b5d6baee14c4c558476b917,SOURCE_FOUND,PENDING
DGI-122,DGI-08-P04,iSAFE-DGM-08,CONTROL,4,a4880c86d8f1feeb124ca9adb9204fcf7ed0ddeab88c934c69421da4c4436193,SOURCE_FOUND,PENDING
DGI-123,DGI-08-P05,iSAFE-DGM-08,CONTROL,5,cea704bda841f745fff48f822fef7f468d7e26eb8bfc8fe2d8374d8e31f74248,SOURCE_FOUND,PENDING
DGI-124,DGI-09-A01,iSAFE-DGM-09,REQUIREMENT,1,97fb763d70a64b698b03de30abe319739aedbdea076b28f2fae6dabc7f35a9f2,SOURCE_FOUND,PENDING
DGI-125,DGI-09-A02,iSAFE-DGM-09,REQUIREMENT,2,ac8d9e7e4b757b63f82e0739460723f53c09423c4aa3ed268f38e170ca965b4d,SOURCE_FOUND,PENDING
DGI-126,DGI-09-A03,iSAFE-DGM-09,REQUIREMENT,3,eab792aafd0b71acc0736f523746283fd4c88bcaf1f536dafbcf4fe038538eae,SOURCE_FOUND,PENDING
DGI-127,DGI-09-A04,iSAFE-DGM-09,REQUIREMENT,4,a4d4f015119dfa7a217b33ff2a06dd1a0dc88abfd516ea987262130e8e1cd418,SOURCE_FOUND,PENDING
DGI-128,DGI-09-A05,iSAFE-DGM-09,REQUIREMENT,5,1be4ad9df04b90c84a73aa66affb76a7c6e2729cbb32a3c3ddedf74b43874c70,SOURCE_FOUND,PENDING
DGI-129,DGI-09-A06,iSAFE-DGM-09,REQUIREMENT,6,50c79a3a2a0d033bfe6cbb49a09248a78aad8985097d2fa75f3a63cd603417f8,SOURCE_FOUND,PENDING
DGI-130,DGI-09-E01,iSAFE-DGM-09,RISK_SIGNAL,1,20421dba07b0fe8900b3d407e5389e21a7f805e480d9da5927ded243c890f7c0,SOURCE_FOUND,PENDING
DGI-131,DGI-09-E02,iSAFE-DGM-09,RISK_SIGNAL,2,89c7a1c0117bb97cce9023aa510054621abba2f5c298c07a1a8320543a75eceb,SOURCE_FOUND,PENDING
DGI-132,DGI-09-E03,iSAFE-DGM-09,RISK_SIGNAL,3,209d2151cf704c1dd38d68d30e0582f934a6f63aadea584942f9c4069351a599,SOURCE_FOUND,PENDING
DGI-133,DGI-09-E04,iSAFE-DGM-09,RISK_SIGNAL,4,f6df9ddcf1a51b9e67f6505255c5a55ef9cbb5d709769c4b5bffeace98b2e8aa,SOURCE_FOUND,PENDING
DGI-134,DGI-09-E05,iSAFE-DGM-09,RISK_SIGNAL,5,a051e710e6ac71aa1ef776fde8e2761b17d63adf2d39988461a9f0a107e460ed,SOURCE_FOUND,PENDING
DGI-135,DGI-09-P01,iSAFE-DGM-09,CONTROL,1,24075d2999593c71f9e5ee4e25977efaad049ba17ac6b1d83e7b2bf8c250de49,SOURCE_FOUND,PENDING
DGI-136,DGI-09-P02,iSAFE-DGM-09,CONTROL,2,91fb037e6bc62819836337f453205a3c44a8a11cdd3224c4dcf61bd01f21b9a1,SOURCE_FOUND,PENDING
DGI-137,DGI-09-P03,iSAFE-DGM-09,CONTROL,3,d63ccdf7ffe0056efa49757f0e44af162e943c41740e113857d3f522e9133a6b,SOURCE_FOUND,PENDING
DGI-138,DGI-09-P04,iSAFE-DGM-09,CONTROL,4,8580e17928ff822ce94c7d8a85df1a3ca15951866841dd31bfe91f6429d887bb,SOURCE_FOUND,PENDING
DGI-139,DGI-09-P05,iSAFE-DGM-09,CONTROL,5,4892dd661adbcf382d44c923a25f9b1e87d4a177151d22ea5a3ae9ea4d09f2fa,SOURCE_FOUND,PENDING
DGI-140,DGI-09-P06,iSAFE-DGM-09,CONTROL,6,17d9f24b0c43ea3b198f4e83b323505bab3ed67875b31ded7cb355f647c066fb,SOURCE_FOUND,PENDING
DGI-141,DGI-10-A01,iSAFE-DGM-10,REQUIREMENT,1,1836c5d43604b43e154ff94f091ca191dcf69ee0d40a6847b5b8d724d8c95158,SOURCE_FOUND,PENDING
DGI-142,DGI-10-A02,iSAFE-DGM-10,REQUIREMENT,2,0a0b7b63db4bb9d6dac5a29341cdce3ddf5b8262852d9c0110e343771a21cee6,SOURCE_FOUND,PENDING
